Student Model,Test Accuracy,F1-Score
RandomForest,0.9155612871530336,0.9182247946435537
XGBoost,0.9156226971260133,0.9182877161137682
DecisionTree,0.9157455170719725,0.918406656847227
Bagging,0.9156841070989928,0.9183506310361209
AdaBoost,0.9183861459100958,0.9211385683818106
