Student Model,Test Accuracy,F1-Score
RandomForest,0.8537368179734067,0.8199126609218892
XGBoost,0.8775790921595599,0.827619679806375
DecisionTree,0.8418156808803301,0.8187256830144205
Bagging,0.848234754699679,0.8168689605765717
AdaBoost,0.8844566712517193,0.8302272111165775
